County,Location Lat-Long,Cleanup Type,Cleanup Date,Cleanup Site,Adults,Children,People,Pounds,Miles,Bags,Cigarette Butts,Food Wrappers,Take Out/Away Containers (Plastic),Take Out/Away Containers (Foam),Bottle Caps (Plastic),Bottle Caps (Metal),Lids (Plastic),"Straws, Stirrers","Forks, Knives, Spoons",Beverage Bottles (Plastic),Beverage Bottles (Glass),Beverage Cans,Grocery Bags (Plastic),Other Plastic Bags,Paper Bags,"Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps",Fishing Net & Pieces,Fishing Line,Rope,6-Pack Holders,Other Plastic/Foam Packaging,Other Plastic Bottles,Strapping Bands,Tobacco Packaging/Wrap,Appliances,Balloons,Cigar Tips,Cigarette Lighters,Construction Materials,Fireworks,Tires,Toys,Condoms,Diapers,Syringes,Tampons/Tampon Applicators,Foam Pieces,Glass Pieces,Plastic Pieces,"Clothing, Shoes",Shotgun Shells/Wadding,Light Bulbs/Tubes,Batteries,Cars/Car Parts,55-Gallon Drums
Sussex,"(38.785972830252, -75.101371423924)","Land (beach, shoreline and inland)",09/22/2018,Cape Henlopen - Fishing Pier,18,37,55,10,1.5,11,94,20,3,0,36,3,1,20,1,6,4,5,1,54,0,0,0,1,0,7,19,23,0,5,0,4,1,0,5,6,1,11,0,0,0,0,0,0,0,4,11,149,,,,,,
Sussex,"(38.794883549619, -75.091679050244)","Land (beach, shoreline and inland)",09/22/2018,Cape Henlopen - The Point,38,0,38,70,3,9,492,80,6,21,325,5,4,89,4,14,9,3,23,20,9,4,8,0,6,8,38,32,0,14,1,2,7,0,6,25,1,1,0,0,0,0,0,3,0,23,12,727,,,,,,
Sussex,"(38.763894728396, -75.082499601987)","Land (beach, shoreline and inland)",09/22/2018,Cape Henlopen - Gordon's Pond,11,8,19,120,3,14,73,52,5,13,402,10,21,73,3,63,7,3,18,33,5,3,9,3,4,4,9,25,9,33,3,21,7,0,26,44,0,0,13,3,0,3,0,2,15,29,19,174,,,,,,
Sussex,"(38.609863698659, -75.062898170921)","Land (beach, shoreline and inland)",09/22/2018,Delaware Seashore State Park - North Indian River Inlet,44,5,49,430,2,26,134,70,88,14,805,4,29,84,26,77,1,2,5,53,0,1,7,13,3,4,2,43,1,57,5,8,0,0,40,68,6,24,23,1,0,0,0,1,14,44,3,474,,,,,,
Sussex,"(38.663552529407, -75.068532108044)","Land (beach, shoreline and inland)",09/22/2018,Delaware Seashore State Park - Keybox Road,15,0,15,150,1,12,183,157,5,0,649,17,98,452,18,65,3,11,60,22,2,7,20,5,6,0,60,76,4,27,7,8,6,0,156,46,15,12,0,1,4,0,0,0,48,34,0,142,,,,,,
Sussex,"(38.471627458497, -75.050804829329)","Land (beach, shoreline and inland)",09/22/2018,Fenwick Island State Park,20,5,25,100,2,9,199,43,2,0,295,14,17,139,13,34,2,3,7,80,0,12,22,13,0,3,3,11,3,0,0,21,16,0,34,21,3,0,0,0,0,1,0,0,21,18,1,219,,,,,,
Sussex,"(38.908963058887, -75.299733354104)","Land (beach, shoreline and inland)",09/22/2018,Slaughter Beach,39,12,51,221,5,25,306,147,19,77,272,33,108,86,35,150,31,156,70,123,16,23,64,34,22,44,40,49,8,50,38,18,26,0,54,27,11,43,22,0,0,1,0,1,47,204,78,747,,,,,,
Sussex,"(38.802148090103, -75.202431081796)","Land (beach, shoreline and inland)",09/22/2018,Oyster Rocks,6,4,10,70,0.75,5,12,17,1,2,9,4,0,3,0,50,18,45,9,1,0,0,8,0,2,6,35,6,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,32,12,,,,,,
Sussex,"(38.829333208138, -75.213084338548)","Land (beach, shoreline and inland)",09/22/2018,Broadkill,20,15,35,250,3,0,174,67,17,10,191,4,29,59,5,96,14,42,34,52,14,10,29,8,12,13,22,21,2,89,2,19,9,0,31,64,5,24,16,2,0,0,0,2,12,68,2,591,,,,,,
Sussex,"(38.800505584524, -75.182039743596)","Land (beach, shoreline and inland)",09/22/2018,Beach Plum,14,1,15,45,2,2,88,73,16,14,271,5,63,90,12,31,12,43,12,37,16,12,10,31,11,6,21,11,12,4,8,2,5,0,6,33,8,92,11,0,0,3,0,2,7,64,50,295,,,,,,
Sussex,"(38.783328023219, -75.141752881946)","Land (beach, shoreline and inland)",09/22/2018,Lewes Beach,62,44,106,340,2.5,4,677,132,5,10,364,137,36,186,15,23,1,8,3,37,10,9,23,14,9,19,20,14,0,87,0,23,18,0,19,54,2,28,15,4,0,0,1,0,3,109,10,858,,,,,,
Sussex,"(38.783630094512, -75.109360509085)","Land (beach, shoreline and inland)",09/22/2018,Cape Shores,20,0,20,70,0.5,3,76,17,2,1,52,6,18,30,0,9,3,5,7,2,1,1,1,0,3,8,5,18,0,5,1,7,2,0,3,22,1,41,8,0,0,0,0,0,0,8,9,132,,,,,,
Sussex,"(38.702229408083, -75.162348753906)","Land (beach, shoreline and inland)",09/22/2018,Boat Hole/Love Creek,6,0,6,40,1,5,0,15,28,3,6,5,5,10,2,10,55,12,4,7,0,16,10,5,0,0,0,12,0,10,5,15,10,0,1,2,2,10,0,0,0,0,0,0,0,20,9,23,,,,,,
Sussex,"(38.726445316064, -75.077846898341)","Land (beach, shoreline and inland)",09/22/2018,Deauville,13,0,13,72,0.25,8,249,52,0,0,154,1,3,35,9,9,6,5,1,8,4,2,4,7,0,1,0,7,0,1,0,19,2,0,6,28,0,26,0,0,0,0,0,0,4,68,6,196,,,,,,
Sussex,"(38.688425753209, -75.18925894526)","Land (beach, shoreline and inland)",09/22/2018,Rehoboth Beach,34,2,36,61.5,2,28,1257,354,9,9,194,8,34,95,10,23,7,9,19,13,9,16,17,7,0,6,1,8,0,94,3,32,3,0,28,29,4,22,7,0,0,0,4,0,6,515,88,642,,,,,,
Sussex,"(38.693476617221, -75.072551970862)","Land (beach, shoreline and inland)",09/22/2018,Dewey Beach,16,6,22,83,3,9,227,39,0,0,116,9,14,51,7,17,0,11,7,21,4,34,12,0,0,6,2,17,0,12,1,10,5,0,36,37,0,21,4,0,14,3,0,1,0,150,2,311,,,,,,
Sussex,"(38.540707957764, -75.054170542737)","Land (beach, shoreline and inland)",09/22/2018,Bethany Beach,40,5,45,80,1,31,298,162,18,10,367,68,102,219,34,66,1,20,32,25,1,24,6,19,1,13,23,21,0,24,2,9,10,0,58,43,8,17,10,0,0,15,4,1,17,127,0,370,,,,,,
Sussex,"(38.514911509638, -75.052862164758)","Land (beach, shoreline and inland)",09/22/2018,South Bethany,3,0,3,20,1,2,14,2,0,0,85,0,5,43,0,5,1,1,0,2,0,0,2,0,0,3,0,2,0,25,1,0,1,0,6,13,0,0,3,0,4,0,0,0,8,11,0,48,,,,,,
Sussex,"(38.460612335323, -75.049006938831)","Land (beach, shoreline and inland)",09/22/2018,Fenwick Island,22,3,25,25,1,10,163,225,7,8,324,19,62,172,23,20,10,8,6,35,4,10,23,10,1,11,20,20,3,5,6,21,1,0,56,44,2,24,0,0,0,0,1,2,14,49,1,672,,,,,,
Kent,"(39.136835270993, -75.409183438074)","Land (beach, shoreline and inland)",09/22/2018,Pickering Beach,44,24,68,140,4,13,23,69,28,2,73,24,5,16,2,72,29,25,24,2,0,1,15,0,7,4,5,9,0,102,0,0,1,0,8,9,4,29,0,4,0,0,0,0,8,56,16,115,,,,,,
Kent,"(39.102447693842, -75.401051857093)","Land (beach, shoreline and inland)",09/22/2018,Kitts Hummock,49,20,69,300.5,5.9,25,10,111,7,6,103,4,16,14,3,106,9,77,34,56,8,8,44,7,9,10,26,20,2,27,9,15,2,1,18,7,3,40,10,2,0,4,1,0,11,33,30,340,,,,,,
Kent,"(39.076844738254, -75.40368480469)","Land (beach, shoreline and inland)",09/22/2018,North Bowers Beach,15,20,35,45,1,1,45,26,2,0,38,5,4,4,5,18,9,7,4,15,6,5,1,0,2,10,46,6,0,20,0,0,7,0,0,6,0,0,0,0,0,1,1,0,4,0,0,0,,,,,,
Kent,"(39.054778835864, -75.395429579889)","Land (beach, shoreline and inland)",09/22/2018,South Bowers,22,23,45,300,1,12,1117,94,15,3,80,5,20,17,9,77,39,91,54,68,4,6,28,12,18,12,18,23,5,41,8,17,5,1,30,4,4,179,7,5,0,0,1,0,7,25,90,155,,,,,,
Kent,"(38.995880214014, -75.324662504236)","Land (beach, shoreline and inland)",09/22/2018,Big Stone Beach,19,3,22,275,1,17,191,25,2,0,43,0,23,7,6,56,13,37,6,10,2,6,18,12,9,9,3,15,0,26,12,0,2,0,30,2,2,31,1,1,0,2,0,0,5,77,10,252,,,,,,
Kent,"(39.03315278565, -75.362548817457)","Land (beach, shoreline and inland)",09/22/2018,Bennetts Pier,11,5,16,390,1,10,6,23,3,1,15,2,9,3,0,23,61,30,23,31,1,1,7,4,2,7,4,8,1,9,5,5,1,0,12,0,3,6,0,1,0,2,0,0,0,7,38,78,,,,,,
New Castle,"(39.665254704321, -75.555654549897)","Land (beach, shoreline and inland)",09/22/2018,New Castle - Broad Dyke,7,0,7,100,0.5,8,0,0,0,0,0,0,0,0,0,21,0,70,50,175,0,50,150,30,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,20,20,0,370,10,70,,,,,,
New Castle,"(39.661049920689, -75.558485083954)","Land (beach, shoreline and inland)",09/22/2018,New Castle - Dobbinsville,14,5,19,245,0.75,15,15,39,11,7,85,0,21,57,7,126,32,10,36,0,0,0,36,3,0,2,7,2,0,29,21,2,4,0,5,39,5,6,0,1,0,0,1,0,8,65,16,130,,,,,,
New Castle,"(39.554676945364, -75.617106892767)","Land (beach, shoreline and inland)",09/22/2018,C&D Canal - Biddles Point,12,6,18,100,1,15,15,67,48,41,49,8,20,13,13,113,50,46,36,18,6,15,7,6,6,1,20,0,0,10,16,1,6,0,0,3,9,1,0,2,0,0,0,0,2,0,0,0,,,,,,
New Castle,"(39.553063308508, -75.640723885038)","Land (beach, shoreline and inland)",09/22/2018,C&D Canal - St Georges,11,1,12,62,0.75,6,12,35,37,2,35,3,11,16,10,67,23,37,13,1,0,3,19,19,2,0,8,0,0,21,0,0,1,0,0,0,1,21,1,1,0,1,0,0,0,48,22,78,,,,,,
New Castle,"(39.386781830696, -75.523169716578)","Land (beach, shoreline and inland)",09/22/2018,Collins Beach Boat Ramp,5,0,5,325,1,12,202,89,13,4,38,16,67,12,7,117,20,53,35,18,8,31,23,34,7,1,0,4,0,14,12,3,30,0,0,1,5,3,1,1,0,2,0,2,0,20,100,0,,,,,,
Kent,"(39.330540817256, -75.470104303979)","Land (beach, shoreline and inland)",09/22/2018,Woodland Beach Pier,6,4,10,95,0.75,6,135,16,1,0,36,17,4,12,3,31,16,20,2,2,3,2,2,2,0,1,10,4,1,0,3,1,8,0,1,10,4,0,0,0,0,2,2,2,1,20,43,15,,,,,,
Kent,"(39.340537155394, -75.487814336855)","Land (beach, shoreline and inland)",09/22/2018,Woodland Beach-Taylor's Gut,12,3,15,95,1,6,130,46,15,3,7,1,3,10,0,70,34,90,12,9,12,16,2,0,0,0,0,1,1,14,1,1,12,0,1,1,2,1,0,1,0,1,0,0,0,4,1,21,,,,,,
Sussex,"(38.789097986218, -75.157007597219)","Land (beach, shoreline and inland)",09/22/2018,Lewes Boat Ramp,7,2,9,150,0.5,6,118,40,16,6,21,29,15,16,6,31,22,26,20,22,4,12,8,9,2,6,8,11,3,20,2,7,2,0,2,8,0,5,0,0,0,0,0,0,0,46,9,94,,,,,,
Sussex,"(38.645629073549, -75.6005945823)","Land (beach, shoreline and inland)",09/22/2018,Williams Pond - Seaford,20,4,24,211,5,21,374,682,415,198,227,230,68,141,59,349,132,148,97,22,34,63,66,20,3,42,29,0,0,36,3,18,14,0,8,37,9,9,0,0,0,4,0,0,0,79,52,174,,,,,,
Kent,"(39.177991300009, -75.407235415161)","Land (beach, shoreline and inland)",09/22/2018,Little Creek Wildlife Area/Port Mahon Road,2,0,2,6,1,3,0,5,4,0,8,0,1,0,1,49,9,15,4,2,0,0,2,4,4,0,3,1,0,0,2,1,2,0,8,0,0,0,0,0,0,0,0,0,0,8,0,6,,,,,,
New Castle,"(39.507127479545, -75.577936810513)","Land (beach, shoreline and inland)",09/14/2019,Augustine Beach Boat Ramp Area,20,12,32,550,0.75,25,150,460,36,25,196,95,162,205,57,305,236,230,150,29,5,32,56,37,1,14,23,5,4,32,25,7,8,0,11,112,30,18,0,4,0,2,9,1,45,550,87,580,,,,,,
New Castle,"(39.657034916654, -75.564926497484)","Land (beach, shoreline and inland)",09/13/2019,Battery Park,89,2,91,300,2,27,347,136,20,13,303,41,39,37,7,73,14,4,12,24,7,9,13,9,3,2,3,3,0,50,13,3,16,0,3,73,7,10,2,1,0,2,0,4,6,42,10,275,,,,,,
Kent,"(39.031447993537, -75.358299932919)","Land (beach, shoreline and inland)",09/14/2019,Bennetts Pier,16,5,21,370,4,14,21,64,36,28,130,52,74,43,31,58,31,49,31,23,0,0,48,7,19,6,12,4,4,35,11,7,6,0,37,1,2,38,6,3,0,0,0,0,3,9,31,108,,,,,,
Sussex,"(38.539334497941, -75.05373781127)","Land (beach, shoreline and inland)",09/14/2019,Bethany Beach,76,15,91,60,5,11,594,149,20,25,133,19,68,96,58,93,12,31,22,41,72,52,41,24,2,7,6,8,0,9,23,25,11,0,6,2,1,7,14,0,4,0,1,0,0,25,1,352,,,,,,
Kent,"(39.000762087088, -75.328341738375)","Land (beach, shoreline and inland)",09/14/2019,Big Stone Beach,21,11,32,265,3,17,14,65,13,1,121,4,25,21,5,123,14,38,14,14,6,1,11,0,9,10,24,0,2,5,10,7,3,1,38,2,5,34,6,8,1,0,1,0,8,60,12,180,,,,,,
Sussex,"(38.826423752862, -75.209510519189)","Land (beach, shoreline and inland)",09/14/2019,Broadkill Beach,46,16,62,160,3,22,84,20,13,3,111,7,13,54,6,31,11,15,25,52,13,3,6,4,6,11,12,9,0,11,5,10,1,0,33,11,6,14,24,1,0,0,1,0,9,21,10,219,,,,,,
New Castle,"(39.55423787905, -75.616889401015)","Land (beach, shoreline and inland)",09/14/2019,C&D Canal-Biddles Point,11,3,14,75,1,12,1,14,17,3,16,0,9,2,0,69,12,33,11,3,0,2,3,0,2,0,5,1,0,5,5,0,1,0,0,1,3,2,0,0,0,1,0,0,1,5,14,15,,,,,,
New Castle,"(39.550044267166, -75.613094115405)","Land (beach, shoreline and inland)",09/14/2019,C&D Canal-Dutch Neck,17,3,20,200,0.25,28,127,132,38,32,73,88,103,37,28,321,127,255,132,93,20,58,61,42,5,7,152,26,6,37,7,0,39,4,0,10,5,8,2,0,0,0,3,1,0,16,200,57,,,,,,
Sussex,"(38.785756352979, -75.088085183697)","Land (beach, shoreline and inland)",09/14/2019,Cape Henlopen State Park-Main Beach,80,42,122,222,9,20,2301,337,12,7,265,27,26,138,16,47,5,23,11,60,11,10,17,7,3,7,24,19,0,76,2,18,18,0,41,27,9,38,2,0,1,2,3,0,7,79,16,498,,,,,,
Sussex,"(38.803532458515, -75.095508569138)","Land (beach, shoreline and inland)",09/14/2019,Cape Henlopen State Park-The Point,22,2,24,48,3,11,83,44,12,9,113,15,5,41,3,12,7,9,2,44,16,13,12,4,1,4,4,19,23,54,3,8,0,0,18,7,2,2,2,0,0,2,1,0,3,7,4,73,,,,,,
Sussex,"(38.786533552123, -75.10137917542)","Land (beach, shoreline and inland)",09/14/2019,Cape Henlopen-Fishing Pier,81,39,120,200,4,9,996,97,17,1,285,24,12,71,33,12,15,4,4,10,2,5,10,1,7,7,35,4,0,6,2,18,7,0,6,44,0,14,3,1,2,0,0,2,0,45,18,602,,,,,,
Sussex,"(38.742415023153, -75.08004497531)","Land (beach, shoreline and inland)",09/14/2019,Cape Henlopen-Gordon's Pond State Park,43,8,51,53,3,14,430,69,6,0,414,28,57,99,44,51,2,6,11,36,4,7,30,3,4,7,3,26,0,45,36,22,19,0,32,99,0,44,7,1,2,1,1,2,10,36,14,733,,,,,,
Sussex,"(38.763962191954, -75.081772087936)","Land (beach, shoreline and inland)",09/14/2019,Cape Henlopen-Herring Point,14,6,20,50,2,9,22,28,6,1,99,3,9,36,4,19,2,3,7,26,3,3,29,1,7,8,2,5,0,21,4,15,0,0,17,8,0,25,2,0,0,0,0,0,6,28,0,108,,,,,,
Sussex,"(38.783206960034, -75.11093062632)","Land (beach, shoreline and inland)",09/14/2019,Cape Shores,20,0,20,28,0.5,1,50,12,1,0,40,4,5,10,0,2,1,0,0,5,0,1,2,1,0,2,3,6,0,14,2,4,0,0,0,5,0,1,0,0,0,0,0,0,0,19,2,119,,,,,,
New Castle,"(39.388043358166, -75.527146887341)","Land (beach, shoreline and inland)",09/14/2019,Cedar Swamp-Collins Beach,11,11,22,72.5,2,11,75,36,2,1,47,8,8,13,4,53,31,41,9,28,3,11,10,8,1,0,0,1,0,6,1,3,11,0,0,0,3,14,3,1,0,0,0,0,1,5,3,102,,,,,,
New Castle,"(39.376658076029, -75.536145072894)","Land (beach, shoreline and inland)",09/14/2019,Cedar Swamp-Thoroughfare,14,0,14,29,1,5,2,6,2,1,0,2,4,0,1,26,22,26,2,7,4,6,8,2,0,0,0,0,4,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,
Sussex,"(38.727726655535, -75.078533275501)","Land (beach, shoreline and inland)",09/14/2019,Deauville,22,4,26,35,1,4,233,121,9,4,196,24,25,78,21,48,21,23,33,22,9,31,26,3,2,4,1,8,1,32,5,14,3,0,14,33,0,12,2,0,0,3,0,0,6,32,1,261,,,,,,
Sussex,"(38.592521812674, -75.061591298811)","Land (beach, shoreline and inland)",09/14/2019,Delaware Seashore State Park- 3 R's Rd,13,2,15,17,4,4,58,8,0,0,5,1,5,18,0,25,0,1,2,6,0,5,5,1,0,14,5,4,0,4,2,2,0,0,15,6,0,0,0,0,0,7,0,0,1,7,1,69,,,,,,
Sussex,"(38.609653788825, -75.066340310407)","Land (beach, shoreline and inland)",09/14/2019,Delaware Seashore State Park- North Inlet,4,2,6,40,1,6,48,7,0,2,115,2,5,39,2,17,2,6,5,13,1,1,0,1,0,5,1,7,2,1,2,1,0,0,8,17,0,2,0,0,0,0,0,0,0,0,12,93,,,,,,
Sussex,"(38.663594324271, -75.069217880001)","Land (beach, shoreline and inland)",09/14/2019,Delaware Seashore State Park-Keybox Rd,10,0,10,50,2,3,31,71,11,8,259,6,25,37,10,28,3,2,9,19,6,6,8,10,2,6,3,9,0,0,2,0,1,0,28,14,3,2,0,0,0,0,5,0,21,3,70,180,,,,,,
Sussex,"(38.604873777508, -75.065650218707)","Land (beach, shoreline and inland)",09/14/2019,Delaware Seashore State Park-South Inlet,45,1,46,46,3,8,835,39,3,0,22,12,4,14,4,5,2,9,5,4,4,8,3,6,4,1,11,4,0,0,0,6,1,0,1,8,0,23,1,0,3,0,0,0,1,35,0,121,,,,,,
Sussex,"(38.692960387818, -75.0717223957)","Land (beach, shoreline and inland)",09/14/2019,Dewey Beach,51,1,52,166,5,21,570,79,7,9,108,10,22,48,3,32,7,21,6,17,2,20,31,15,2,2,5,6,0,12,1,30,10,0,12,13,2,44,0,0,7,1,0,0,2,67,6,221,,,,,,
Sussex,"(38.948124220698, -75.314699476875)","Land (beach, shoreline and inland)",09/14/2019,DuPont Nature Center,12,7,19,47,2,14,80,74,3,7,52,23,60,23,8,42,23,23,26,22,8,34,9,3,1,3,0,6,1,7,5,7,19,0,3,8,5,10,5,1,0,0,1,0,6,14,19,92,,,,,,
Sussex,"(38.461368291286, -75.048714684028)","Land (beach, shoreline and inland)",09/14/2019,Fenwick Island Beach,29,5,34,60,1,7,220,81,1,1,242,9,21,76,6,14,0,2,11,11,3,2,3,1,0,1,3,10,1,41,0,6,6,0,18,28,0,28,1,0,0,4,0,1,4,11,1,246,,,,,,
Sussex,"(38.484806381553, -75.051774055198)","Land (beach, shoreline and inland)",09/14/2019,Fenwick Island State Park,26,1,27,40,2,6,155,59,5,1,202,7,4,75,6,10,1,11,11,39,8,11,16,0,0,4,8,10,0,0,79,5,2,1,18,26,0,5,0,1,0,1,0,0,0,19,13,97,,,,,,
New Castle,"(39.755561555493, -75.490159763147)","Land (beach, shoreline and inland)",09/14/2019,Fox Point State Park,63,37,100,75,2,30,22,68,26,20,191,5,38,133,25,596,12,31,39,45,5,0,34,5,5,1,4,28,0,22,23,5,7,1,6,22,19,39,1,1,0,0,0,3,11,131,91,238,,,,,,
Sussex,"(38.586315029019, -75.129157679385)","Land (beach, shoreline and inland)",09/14/2019,Holts Landing,7,18,25,67,0.75,7,97,76,5,0,21,5,5,12,4,13,6,10,5,17,4,1,5,2,1,2,0,3,2,0,0,1,9,0,3,1,0,23,0,0,0,0,0,0,0,1,3,94,,,,,,
Kent,"(39.102588216644, -75.40179817116)","Land (beach, shoreline and inland)",09/14/2019,Kitts Hummock Beach,40,11,51,178,2.75,15,4,41,14,5,116,0,35,12,8,119,1,43,18,42,3,18,21,9,9,3,5,17,5,29,14,11,1,0,26,8,2,15,0,1,0,0,0,0,3,28,6,120,,,,,,
Sussex,"(38.785513609892, -75.148004215344)","Land (beach, shoreline and inland)",09/14/2019,Lewes Beach,117,0,117,64,2,10,1064,50,8,2,430,20,17,141,23,28,8,4,10,24,10,4,19,7,11,20,32,26,0,52,5,55,9,0,25,72,3,21,38,0,0,3,0,0,3,126,25,1000,,,,,,
Sussex,"(38.790962192289, -75.166149631985)","Land (beach, shoreline and inland)",09/14/2019,Lewes Boat Ramp,16,2,18,150,2,5,876,104,6,4,163,75,21,32,6,52,13,38,20,59,5,8,12,7,1,9,39,8,2,5,1,20,17,0,4,15,4,41,4,1,0,0,2,0,2,12,10,448,,,,,,
Kent,"(39.060403745957, -75.396351683303)","Land (beach, shoreline and inland)",09/14/2019,North Bowers Beach,20,4,24,115,3,8,149,14,0,0,13,1,2,2,0,18,11,4,7,1,3,0,2,0,5,1,253,1,0,9,1,1,1,0,3,2,0,0,0,0,0,0,1,0,0,0,3,13,,,,,,
New Castle,"(39.629223184498, -75.614610799857)","Land (beach, shoreline and inland)",09/14/2019,Ommelanden Range,5,60,65,100,0.75,0,0,35,35,0,210,0,35,35,0,200,16,0,7,0,0,0,15,0,1,1,0,0,0,125,53,0,0,0,0,0,12,4,0,1,0,0,0,2,0,200,0,0,,,,,,
Kent,"(39.135525973071, -75.408825808459)","Land (beach, shoreline and inland)",09/14/2019,Pickering Beach,43,7,50,107,10,16,6,13,1,0,70,0,9,19,2,22,2,4,1,5,8,2,12,1,4,1,3,8,0,92,3,1,0,0,5,18,4,3,0,0,3,0,0,0,1,4,0,35,,,,,,
Sussex,"(38.719431738651, -75.075835367287)","Land (beach, shoreline and inland)",09/14/2019,Rehoboth Beach,134,6,140,63,7,25,1965,687,59,25,321,45,81,233,35,72,47,33,51,45,28,63,52,10,7,7,2,10,2,107,9,34,23,0,21,44,8,26,4,0,18,4,1,0,14,355,9,818,,,,,,
Sussex,"(38.912547293262, -75.303710169019)","Land (beach, shoreline and inland)",09/14/2019,Slaughter Beach,96,3,99,250,3,28,204,346,44,23,792,61,100,165,27,106,11,62,43,145,18,24,72,21,12,27,26,25,6,70,13,14,13,3,74,44,22,70,30,0,1,1,0,1,26,144,23,1017,,,,,,
New Castle,"(39.657627344212, -75.561722308931)","Land (beach, shoreline and inland)",09/14/2019,South Battery Park-Dobbinsville,42,4,46,720,2,50,60,211,42,44,457,39,178,175,64,319,108,353,33,5,2,20,19,15,1,12,30,3,5,56,21,3,17,0,2,112,32,10,3,2,0,1,2,6,12,368,581,452,,,,,,
Sussex,"(38.516430582213, -75.052657514093)","Land (beach, shoreline and inland)",09/14/2019,South Bethany,25,2,27,12,0.75,1,120,40,8,3,124,12,34,56,4,6,2,2,2,20,3,1,1,6,4,2,10,4,0,45,0,8,9,0,8,19,1,8,2,0,0,0,0,0,4,49,9,261,,,,,,
Kent,"(39.057601476638, -75.395744301575)","Land (beach, shoreline and inland)",09/14/2019,South Bowers Beach,21,24,45,387,3,15,8,23,19,7,71,7,15,13,2,95,19,72,19,22,10,6,30,5,10,9,2,12,30,76,15,2,6,0,21,1,4,428,2,1,0,32,0,0,1,26,53,79,,,,,,
Kent,"(39.091440436277, -75.401905715344)","Land (beach, shoreline and inland)",09/14/2019,Ted Harvey,7,3,10,176,2,7,8,14,2,2,27,13,5,5,0,136,6,137,2,5,0,1,23,8,1,1,18,4,0,15,0,1,0,0,9,0,0,3,0,0,0,0,2,0,1,26,7,113,,,,,,
Sussex,"(38.678290984063, -75.070366065755)","Land (beach, shoreline and inland)",09/14/2019,Towers Beach,4,0,4,16,2,3,11,18,0,0,114,5,9,10,1,6,1,1,0,17,0,3,7,2,6,1,0,2,0,14,1,6,1,0,8,11,2,7,0,0,6,0,0,0,2,13,0,131,,,,,,
Sussex,"(38.649012404822, -75.597083294508)","Land (beach, shoreline and inland)",09/14/2019,Williams Pond,23,15,38,211,2,40,300,250,100,50,125,75,50,60,50,200,150,100,75,100,25,25,50,10,0,0,10,0,10,10,15,0,100,0,5,10,5,0,0,0,0,0,0,0,0,75,75,200,,,,,,
Kent,"(39.308904852133, -75.515056403041)","Land (beach, shoreline and inland)",09/14/2019,Woodland Beach- Hay Point Landing Rd,8,0,8,199,2,16,17,12,0,5,9,0,20,1,0,97,91,221,20,13,10,13,14,4,0,0,0,0,1,4,3,0,12,0,0,0,0,3,1,3,0,0,0,0,0,0,0,41,,,,,,
Kent,"(39.332049613013, -75.472113895106)","Land (beach, shoreline and inland)",09/14/2019,Woodland Beach Pier,16,5,21,100,2,25,762,153,22,5,194,92,29,112,2,68,87,42,22,3,1,4,1,1,0,1,2,12,0,1,5,5,20,1,1,59,6,1,0,1,0,2,1,0,0,19,46,76,,,,,,
Kent,"(39.331788936134, -75.471999109145)","Land (beach, shoreline and inland)",09/14/2019,Woodland Beach-Boat Ramp,6,20,26,63,2,8,109,110,20,6,67,13,50,43,4,166,63,220,50,37,7,10,5,34,0,8,16,18,12,12,1,0,21,0,0,12,2,14,0,4,0,4,0,0,0,7,17,52,,,,,,
Kent,"(39.340914048237, -75.504628909665)","Land (beach, shoreline and inland)",09/14/2019,Woodland Beach-Taylor's Gut,30,0,30,250,1,18,72,70,45,5,5,6,12,13,4,76,51,134,32,19,8,45,9,11,1,0,1,4,0,21,4,1,14,1,3,40,2,20,0,6,0,4,5,0,1,15,12,69,,,,,,
